T,C,F
1627189963.404944,12.937,55.2866
1627189974.3149447,12.062,53.711600000000004
1627189985.1946418,11.875,53.375
1627189996.0742683,12.0,53.6
1627190006.9585347,12.25,54.05
1627190017.8346105,12.375,54.275000000000006
1627190028.7139688,12.437,54.3866
1627190039.5946095,12.375,54.275000000000006
1627190050.4761193,12.5,54.5
1627190061.356082,12.562,54.611599999999996
1627190072.2356105,12.625,54.725
1627190083.1140642,12.687,54.836600000000004
1627190093.994953,12.75,54.95
1627190104.873954,12.75,54.95
1627190115.7549407,12.75,54.95
1627190126.674552,12.875,55.175
1627190137.6044965,12.937,55.2866
1627190148.4746284,13.062,55.5116
1627190159.3552802,13.125,55.625
1627190170.2346256,13.125,55.625
1627190181.1155527,13.187,55.736599999999996
1627190192.044874,13.25,55.85
1627190202.9545634,13.25,55.85
1627190213.835394,13.312,55.961600000000004
1627190224.7139077,13.375,56.075
1627190235.5952024,13.437,56.1866
1627190246.4749317,13.5,56.3
1627190257.35393,13.5,56.3
1627190268.2359102,13.562,56.4116
1627190279.1158466,13.625,56.525000000000006
1627190289.996246,13.625,56.525000000000006
1627190300.8750386,13.687,56.6366
1627190311.753876,13.75,56.75
1627190322.6344697,13.812,56.861599999999996
1627190333.5151768,13.812,56.861599999999996
1627190344.393892,13.875,56.975
1627190355.2844818,13.937,57.086600000000004
1627190366.1948676,14.0,57.2
1627190377.1138952,14.062,57.3116
1627190387.9946616,14.062,57.3116
1627190398.8756652,14.125,57.425
1627190409.7543228,14.187,57.5366
1627190420.6445882,14.187,57.5366
1627190431.514943,14.25,57.650000000000006
1627190442.3962383,14.25,57.650000000000006
1627190453.2754602,14.312,57.7616
1627190464.1650581,14.312,57.7616
1627190475.0347865,14.375,57.875
1627190485.9142544,14.437,57.986599999999996
1627190496.793903,14.437,57.986599999999996
1627190507.684757,14.5,58.1
1627190518.55522,14.562,58.211600000000004
1627190529.4360478,14.562,58.211600000000004
1627190540.3643782,14.625,58.325
1627190551.2739737,14.687,58.4366
1627190562.1538115,14.687,58.4366
1627190573.037201,14.75,58.55
1627190583.9555018,14.75,58.55
1627190594.8740604,14.812,58.6616
1627190605.755489,14.812,58.6616
1627190616.6339388,14.875,58.775000000000006
1627190627.5144737,14.937,58.8866
1627190638.4446974,14.937,58.8866
1627190649.3643663,15.0,59.0
1627190660.2453008,15.062,59.111599999999996
1627190671.1155922,15.062,59.111599999999996
1627190682.0440242,15.125,59.225
1627190692.9544272,15.125,59.225
1627190703.83458,15.187,59.336600000000004
1627190714.7241557,15.187,59.336600000000004
1627190725.5940828,15.25,59.45
1627190736.4739854,15.312,59.5616
1627190747.3545089,15.312,59.5616
1627190758.2344778,15.375,59.675
1627190769.1147404,15.375,59.675
1627190779.9950745,15.437,59.7866
1627190790.874719,15.437,59.7866
1627190801.7644184,15.5,59.900000000000006
1627190812.6844268,15.562,60.0116
1627190823.6047125,15.562,60.0116
1627190834.524259,15.625,60.125
1627190845.4343128,15.625,60.125
1627190856.325045,15.687,60.236599999999996
1627190867.1937659,15.687,60.236599999999996
1627190878.0946798,15.75,60.35
1627190888.9559393,15.75,60.35
1627190899.8344972,15.812,60.461600000000004
1627190910.7246416,15.875,60.575
1627190921.5953772,15.875,60.575
1627190932.4749315,15.875,60.575
1627190943.3650181,15.937,60.6866
1627190954.2351315,15.937,60.6866
1627190965.1144688,16.0,60.8
1627190975.9946966,16.0,60.8
1627190986.8743198,16.062,60.91160000000001
1627190997.7558243,16.062,60.91160000000001
1627191008.6338193,16.125,61.025000000000006
1627191019.524556,16.187,61.1366
1627191030.415317,16.187,61.1366
1627191041.3181334,16.187,61.1366
1627191052.2345383,16.25,61.25
1627191063.1149607,16.25,61.25
1627191073.9945128,16.312,61.3616
1627191084.8737435,16.375,61.475
1627191095.754437,16.375,61.475
1627191106.6437643,16.437,61.586600000000004
1627191117.5145092,16.437,61.586600000000004
1627191128.3943086,16.437,61.586600000000004
1627191139.2744966,16.5,61.7
1627191150.1544445,16.5,61.7
1627191161.0346594,16.562,61.8116
1627191171.9137404,16.562,61.8116
1627191182.7944856,16.625,61.925
1627191193.6748304,16.625,61.925
1627191204.553749,16.687,62.03660000000001
1627191215.4339316,16.687,62.03660000000001
1627191226.313785,16.75,62.150000000000006
1627191237.1944823,16.75,62.150000000000006
1627191248.0844462,16.75,62.150000000000006
1627191258.9548304,16.812,62.2616
1627191269.8337467,16.812,62.2616
1627191280.7144399,16.875,62.375
1627191291.5946662,16.875,62.375
1627191302.4743097,16.875,62.375
1627191313.3538122,16.937,62.4866
1627191324.233933,16.937,62.4866
1627191335.1141932,17.0,62.6
1627191346.004565,17.0,62.6
1627191356.874464,17.062,62.711600000000004
1627191367.754312,17.062,62.711600000000004
1627191378.6342256,17.062,62.711600000000004
1627191389.5144775,17.125,62.825
1627191400.3944373,17.125,62.825
1627191411.2744317,17.125,62.825
1627191422.153985,17.187,62.9366
1627191433.074436,17.187,62.9366
1627191443.9944956,17.25,63.05
1627191454.8737607,17.25,63.05
1627191465.7544281,17.25,63.05
1627191476.6340828,17.312,63.16160000000001
1627191487.513725,17.312,63.16160000000001
1627191498.3944368,17.312,63.16160000000001
1627191509.2744348,17.375,63.275000000000006
1627191520.1544957,17.375,63.275000000000006
1627191531.034335,17.437,63.3866
1627191541.9143116,17.437,63.3866
1627191552.7945173,17.437,63.3866
1627191563.6745057,17.5,63.5
1627191574.5537622,17.5,63.5
1627191585.4443944,17.5,63.5
1627191596.3145242,17.562,63.6116
1627191607.1945198,17.562,63.6116
1627191618.074447,17.625,63.725
1627191628.9544904,17.625,63.725
1627191639.8440273,17.625,63.725
1627191650.7144434,17.625,63.725
1627191661.5944977,17.687,63.836600000000004
1627191672.4744446,17.687,63.836600000000004
1627191683.3544989,17.687,63.836600000000004
1627191694.2344983,17.75,63.95
1627191705.114495,17.75,63.95
1627191715.9945302,17.75,63.95
1627191726.8745036,17.812,64.0616
1627191737.754306,17.812,64.0616
1627191748.6347907,17.812,64.0616
1627191759.5144732,17.875,64.17500000000001
1627191770.393775,17.875,64.17500000000001
1627191781.2745214,17.875,64.17500000000001
1627191792.154568,17.937,64.28659999999999
1627191803.0345182,17.937,64.28659999999999
1627191813.9137623,17.937,64.28659999999999
1627191824.7949476,18.0,64.4
1627191835.6743727,18.0,64.4
1627191846.554656,18.0,64.4
1627191857.4443936,18.062,64.5116
1627191868.3137739,18.062,64.5116
1627191879.1937678,18.062,64.5116
1627191890.0744996,18.125,64.625
1627191900.9544997,18.125,64.625
1627191911.8345134,18.187,64.73660000000001
1627191922.7148495,18.187,64.73660000000001
1627191933.5945594,18.187,64.73660000000001
1627191944.473819,18.187,64.73660000000001
1627191955.3545444,18.25,64.85
1627191966.2345083,18.25,64.85
1627191977.1145055,18.25,64.85
1627191987.993757,18.25,64.85
1627191998.8745477,18.312,64.9616
1627192009.754448,18.312,64.9616
1627192020.634343,18.312,64.9616
1627192031.5145195,18.312,64.9616
1627192042.393759,18.375,65.075
1627192053.2745044,18.375,65.075
1627192064.1545057,18.437,65.1866
1627192075.0337734,18.437,65.1866
1627192085.914486,18.437,65.1866
1627192096.7937748,18.437,65.1866
1627192107.6754909,18.5,65.30000000000001
1627192118.5545113,18.5,65.30000000000001
1627192129.4345086,18.5,65.30000000000001
1627192140.314568,18.562,65.41159999999999
1627192151.19458,18.562,65.41159999999999
1627192162.073779,18.562,65.41159999999999
1627192172.9545367,18.562,65.41159999999999
1627192183.8346071,18.562,65.41159999999999
1627192194.7137587,18.625,65.525
1627192205.5947745,18.625,65.525
1627192216.4738998,18.687,65.6366
1627192227.354556,18.687,65.6366
1627192238.2344387,18.687,65.6366
1627192249.1145513,18.687,65.6366
1627192259.993769,18.75,65.75
1627192270.8737617,18.75,65.75
1627192281.75455,18.75,65.75
1627192292.6344965,18.75,65.75
1627192303.5145772,18.75,65.75
1627192314.393761,18.812,65.86160000000001
1627192325.2745657,18.812,65.86160000000001
1627192336.1545463,18.812,65.86160000000001
1627192347.0342944,18.875,65.975
1627192357.9145193,18.875,65.975
1627192368.7945023,18.875,65.975
1627192379.684604,18.875,65.975
1627192390.5544312,18.937,66.0866
1627192401.4344935,18.937,66.0866
1627192412.3150015,18.937,66.0866
1627192423.1945148,18.937,66.0866
1627192434.074294,18.937,66.0866
1627192444.9537523,19.0,66.2
1627192455.8344455,19.0,66.2
1627192466.7145143,19.0,66.2
1627192477.5944328,19.062,66.3116
1627192488.4744375,19.062,66.3116
1627192499.3544862,19.062,66.3116
1627192510.2344885,19.062,66.3116
1627192521.114432,19.062,66.3116
1627192531.9937515,19.062,66.3116
1627192542.8744874,19.062,66.3116
1627192553.7544405,19.125,66.42500000000001
1627192564.6337638,19.125,66.42500000000001
1627192575.5149827,19.125,66.42500000000001
1627192586.3937857,19.125,66.42500000000001
1627192597.2743018,19.187,66.53659999999999
1627192608.15448,19.187,66.53659999999999
1627192619.0345004,19.187,66.53659999999999
1627192629.9146438,19.187,66.53659999999999
1627192640.7944372,19.187,66.53659999999999
1627192651.6744347,19.25,66.65
1627192662.5544925,19.25,66.65
1627192673.4342518,19.25,66.65
1627192684.3137472,19.25,66.65
1627192695.194489,19.312,66.7616
1627192706.0744743,19.312,66.7616
1627192716.9544542,19.312,66.7616
1627192727.8345625,19.312,66.7616
1627192738.71456,19.312,66.7616
1627192749.594311,19.312,66.7616
1627192760.4744992,19.312,66.7616
1627192771.3545017,19.375,66.875
1627192782.234302,19.375,66.875
1627192793.1146166,19.375,66.875
1627192803.9944425,19.375,66.875
1627192814.8737519,19.375,66.875
1627192825.7544925,19.437,66.98660000000001
1627192836.6343,19.437,66.98660000000001
1627192847.5138738,19.437,66.98660000000001
1627192858.3944426,19.5,67.1
1627192869.274438,19.437,66.98660000000001
1627192880.154499,19.5,67.1
1627192891.0344427,19.5,67.1
1627192901.91461,19.5,67.1
1627192912.7942936,19.5,67.1
1627192923.674447,19.562,67.2116
1627192934.5539052,19.562,67.2116
1627192945.4344335,19.562,67.2116
1627192956.314558,19.562,67.2116
1627192967.194439,19.562,67.2116
1627192978.074444,19.562,67.2116
1627192988.9545035,19.562,67.2116
1627192999.8345091,19.625,67.325
1627193010.714299,19.625,67.325
1627193021.5944312,19.625,67.325
1627193032.474025,19.625,67.325
1627193043.3644936,19.625,67.325
1627193054.2350516,19.687,67.4366
1627193065.1143823,19.687,67.4366
1627193076.0342865,19.687,67.4366
1627193086.9544904,19.687,67.4366
1627193097.834459,19.687,67.4366
1627193108.714581,19.687,67.4366
1627193119.593934,19.75,67.55000000000001
1627193130.4744275,19.75,67.55000000000001
1627193141.3944,19.75,67.55000000000001
1627193152.3144503,19.75,67.55000000000001
1627193163.194624,19.75,67.55000000000001
1627193174.0737953,19.812,67.66159999999999
1627193184.9544332,19.812,67.66159999999999
1627193195.8344512,19.812,67.66159999999999
1627193206.713748,19.812,67.66159999999999
1627193217.5943441,19.812,67.66159999999999
1627193228.4737334,19.812,67.66159999999999
1627193239.3544226,19.812,67.66159999999999
1627193250.2344346,19.875,67.775
1627193261.1543012,19.812,67.66159999999999
1627193272.0744488,19.875,67.775
1627193282.9537663,19.875,67.775
1627193293.8341985,19.875,67.775
1627193304.7137313,19.875,67.775
1627193315.5945816,19.937,67.8866
1627193326.4837546,19.937,67.8866
1627193337.3537414,19.937,67.8866
1627193348.234488,19.937,67.8866
1627193359.1144795,19.937,67.8866
1627193369.9944916,20.0,68.0
1627193380.8742175,20.0,68.0
1627193391.7537427,20.0,68.0
1627193402.6344447,20.0,68.0
1627193413.5144198,20.0,68.0
1627193424.3937218,20.0,68.0
1627193435.2744355,20.062,68.11160000000001
1627193446.153755,20.062,68.11160000000001
1627193457.0343075,20.062,68.11160000000001
1627193467.914199,20.062,68.11160000000001
1627193478.7944407,20.062,68.11160000000001
1627193489.6739128,20.062,68.11160000000001
1627193500.5946093,20.125,68.225
1627193511.514989,20.125,68.225
1627193522.3943055,20.125,68.225
1627193533.274305,20.125,68.225
1627193544.1640053,20.125,68.225
1627193555.0337436,20.125,68.225
1627193565.9144862,20.125,68.225
1627193576.793751,20.125,68.225
1627193587.6744947,20.187,68.3366
1627193598.553747,20.187,68.3366
1627193609.43445,20.187,68.3366
1627193620.314446,20.187,68.3366
1627193631.1944435,20.187,68.3366
1627193642.0747392,20.187,68.3366
1627193652.9537585,20.187,68.3366
1627193663.834508,20.187,68.3366
1627193674.713769,20.25,68.45
1627193685.5944462,20.25,68.45
1627193696.4744422,20.25,68.45
1627193707.354368,20.25,68.45
1627193718.2344398,20.25,68.45
1627193729.114443,20.25,68.45
1627193739.9945035,20.25,68.45
1627193750.8744395,20.25,68.45
1627193761.754502,20.25,68.45
1627193772.6344838,20.25,68.45
1627193783.5145013,20.25,68.45
1627193794.39379,20.25,68.45
1627193805.2744367,20.25,68.45
1627193816.1537423,20.312,68.5616
1627193827.0345268,20.312,68.5616
1627193837.9145517,20.312,68.5616
1627193848.7947562,20.312,68.5616
1627193859.6744096,20.312,68.5616
1627193870.553763,20.312,68.5616
1627193881.434499,20.312,68.5616
1627193892.3645394,20.312,68.5616
1627193903.274556,20.312,68.5616
1627193914.1543834,20.312,68.5616
1627193925.0337822,20.312,68.5616
1627193935.9143636,20.312,68.5616
1627193946.7945695,20.312,68.5616
